file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,121,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,12
style.css,122,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,26
style.css,123,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,15
style.css,124,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,7
style.css,125,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,126,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,127,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,17
style.css,128,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,8
style.css,129,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,130,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,131,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,17
style.css,132,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,12
style.css,133,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,26
style.css,134,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,15
style.css,135,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,7
style.css,136,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,137,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,138,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,20
style.css,139,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,8
style.css,140,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,14
style.css,141,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,142,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,0,0
style.css,143,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,1
style.css,144,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,1
style.css,145,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,1
style.css,146,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,1
style.css,147,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,1
style.css,148,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,2
style.css,149,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,15
style.css,150,css,2529a682,Franky,2025-10-04,22:32:24,-07:00,2025-10-04T22:32:24-07:00,1,17
style.css,151,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,152,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,153,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,2
style.css,154,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,14
style.css,155,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,156,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,157,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,4
style.css,158,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,15
style.css,159,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,160,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,161,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,1
style.css,162,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,1,14
style.css,163,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,164,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,165,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,4
style.css,166,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,1,15
style.css,167,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,168,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,0
style.css,169,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,0,2
style.css,170,css,65b70ad6,Franky,2025-09-30,21:05:18,-07:00,2025-09-30T21:05:18-07:00,1,16
style.css,171,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,0
style.css,172,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,0,0
style.css,173,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,0,13
style.css,174,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,1,19
style.css,175,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,1,13
style.css,176,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,0,0
style.css,177,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,0,0
style.css,178,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,4
style.css,179,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,7
style.css,180,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,5
style.css,181,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,0,6
style.css,182,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,1,19
style.css,183,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,0,0
style.css,184,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,0,0
style.css,185,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,0,6
style.css,186,css,ea2be03c,Franky,2025-10-11,12:20:22,-07:00,2025-10-11T12:20:22-07:00,1,12
style.css,187,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,188,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,189,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,17
style.css,190,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,12
style.css,191,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,36
style.css,192,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,15
style.css,193,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,194,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,195,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,17
style.css,196,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,10
style.css,197,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,16
style.css,198,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,199,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,200,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,17
style.css,201,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,10
style.css,202,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,8
style.css,203,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,204,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,0
style.css,205,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,0,13
style.css,206,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,15
style.css,207,css,1e6a364b,Franky,2025-10-17,20:39:28,-07:00,2025-10-17T20:39:28-07:00,1,15
style.css,208,css,2928fba3,Franky,2025-10-19,12:09:58,-07:00,2025-10-19T12:09:58-07:00,1,14
